category,filename,method,brightness_delta,contrast_delta,sharpness_delta,noise_delta
blurry,blurry_01.jpg,centered_contrast,-0.691,8.338,8.994,0.282
blurry,blurry_01.jpg,clahe_soft,6.219,9.337,20.734,0.599
blurry,blurry_02.jpg,centered_contrast,-1.008,9.931,6.294,0.221
blurry,blurry_02.jpg,clahe_soft,7.03,0.279,21.742,0.672
blurry,blurry_03.jpg,centered_contrast,-0.201,7.073,23.074,0.441
blurry,blurry_03.jpg,clahe_soft,7.493,2.12,105.685,1.642
daylight,daylight_01.jpg,centered_contrast,-0.279,10.831,19.618,0.38
daylight,daylight_01.jpg,clahe_soft,8.973,2.138,68.064,1.127
daylight,daylight_02.jpg,centered_contrast,-0.127,6.939,25.699,0.439
daylight,daylight_02.jpg,clahe_soft,11.028,3.99,110.382,1.572
daylight,daylight_03.jpg,centered_contrast,-0.871,13.214,6779.609,4.828
daylight,daylight_03.jpg,clahe_soft,-9.302,0.923,11524.163,7.585
high_contrast,high_contrast_01.jpg,centered_contrast,2.657,10.316,17.587,0.395
high_contrast,high_contrast_01.jpg,clahe_soft,5.854,2.47,61.764,1.192
high_contrast,high_contrast_02.jpg,centered_contrast,0.125,12.566,203.743,1.243
high_contrast,high_contrast_02.jpg,clahe_soft,8.668,-0.458,418.344,2.257
high_contrast,high_contrast_03.jpg,centered_contrast,-0.2,17.804,255.894,1.737
high_contrast,high_contrast_03.jpg,clahe_soft,3.893,0.178,26.644,0.219
low_light,low_light_01.jpg,centered_contrast,-0.768,9.512,12.732,0.124
low_light,low_light_01.jpg,clahe_soft,7.999,-4.832,214.32,2.202
low_light,low_light_02.jpg,centered_contrast,0.041,6.421,14.532,0.345
low_light,low_light_02.jpg,clahe_soft,4.096,0.832,13.347,0.301
low_light,low_light_03.jpg,centered_contrast,-0.466,4.958,95.384,0.781
low_light,low_light_03.jpg,clahe_soft,11.343,4.373,351.787,2.443
